authority_name	first_name	last_name	county_name	fips	street	city	address_state	zip_code	po_street	po_city	po_state	po_zip_code	reg_authority_name	reg_first	reg_last	reg_street	reg_city	reg_state	reg_zip_code	reg_po_street	reg_po_city	reg_po_state	reg_po_zip_code	reg_phone	reg_fax	reg_email	reg_website	reg_hours	phone	fax	email	website	hours	voter_state	source	review
Registrar Of Voters	Dave	Macdonald	Alameda	001	1225 Fallon Street, Room G-1	Oakland	CA	94612			CA							CA				CA								(510) 272-6982		http://www.acgov.org/rov/index.htm	8:30 a.m. - 5:00 p.m.	CA	State	
County Clerk	Barbara	Howard	Alpine	003	99 Water (Federal Express Only)	Markleeville	 CA 	96120	P.O.  Box 158	Markleeville	CA	96120						CA				CA								(530) 694-2491	coclerk@alpinecountyca.gov	http://www.alpinecountyca.gov/departments/county_clerk		CA	State	
Registrar Of Voters	Sheldon	Johnson	Amador	005	810 Court Street	Jackson	CA	95642-2132			CA							CA				CA								(209) 223-6467	elections@amadorgov.org	http://amadorgov.org/index.aspx?page=77	8:00 a.m. - 5:00 p.m.	CA	State	
County Clerk-Recorder-Registrar	Candace	Grubbs	Butte	007	25 County Center Drive, Suite 110	Oroville	CA	95965-3361			CA							CA				CA								(530) 538-6853	elections@buttecounty.net	http://clerk-recorder.buttecounty.net/		CA	State	
County Clerk	Madaline	Krska	Calaveras	009	891 Mountain Ranch Road	San Andreas	CA	95249			CA							CA				CA								(209) 754-6733	elections@co.calaveras.ca.us	http://clerk.calaverasgov.us/clerkrecorderhome.aspx		CA	State	
County Clerk-Recorder	Kathleen	Moran	Colusa	011	546 Jay Street, Suite 200	Colusa	CA	95932			CA							CA				CA								(530) 458-0512	ccclerk@countyofcolusa.org	http://www.countyofcolusa.org/index.aspx?nid=197	8:30 a.m. - 5:00 p.m.	CA	State	
County Clerk	Stephen	Weir	Contra Costa	013	555 Escobar Street	Martinez	CA	94553			CA							CA				CA								(925) 335-7843		http://www.cocovote.us/		CA	State	
County Clerk-Recorder	Alissia	Northrup	Del Norte	015	981 H Street, Room 160	Crescent City	CA	95531			CA							CA				CA								(707) 465-0321	anorthrup@co.del-norte.ca.us	http://www.co.del-norte.ca.us/		CA	State	
Recorder-Clerk/Registrar Of Voters	William	Schultz	El Dorado	017	2850 Fairlane Court	Placerville	 CA 	95667	P.O.  Box 678001	Placerville	CA	95667						CA				CA								(530) 626-5514	elections@edcgov.us	http://www.edcgov.us/elections		CA	State	
County Clerk/Registrar Of Voters	Brandi	Orth	Fresno	019	2221 Kern Street	Fresno	CA	93721			CA							CA				CA								(559) 488-3279	borth@co.fresno.ca.us	http://www.co.fresno.ca.us/elections	8:30 a.m. - 5:00 p.m.	CA	State	
