authority_name	first_name	last_name	county_name	fips	street	city	address_state	zip_code	po_street	po_city	po_state	po_zip_code	reg_authority_name	reg_first	reg_last	reg_street	reg_city	reg_state	reg_zip_code	reg_po_street	reg_po_city	reg_po_state	reg_po_zip_code	reg_phone	reg_fax	reg_email	reg_website	reg_hours	phone	fax	email	website	hours	voter_state	source	review
County Clerk	Edward	Mcgettigan	Atlantic	001	Clerk's Office, 5901 Main Street	Mays Landing	NJ	08330-1797			NJ		Superintendent of Elections	John	Mooney	1333 Atlantic Avenue, 4th Floor, Atlantic City, NJ 08401	Atlantic City	NJ	08401			NJ		(609) 343-2245	(609) 343-2240			8:30am-4:00pm	(609) 641-7867	(609) 909-5107		http://www.aclink.org/elections/	8:30am-4:00pm	NJ	state	
County Clerk	John	Hogan	Bergen	003	One Bergen County Plaza, Room 130	Hackensack	NJ	07601			NJ		Superintendent of Elections	Patricia	Dicostanzo	One Bergen County Plaza, Room 380, Hackensack, NJ 07601	Hackensack	NJ	07601			NJ		(201) 336-6100	(201) 336-6111			8:30am-4:30pm	(201) 336-7073	(201) 336-7002		http://www.co.bergen.nj.us/elections/default.html	9:00am-4:30pm	NJ	state	
County Clerk	Hon. Timothy	Tyler	Burlington	005	Courts Building, Room 104, 49 Rancocas Road	Mount Holly	NJ	08060-1397	PO Box 6000 	Mount Holly	NJ	08060-1397	Superintendent of Elections	Joanne	Nyikita	755 Eayrestown Road, PO Box 6000, Mount Holly, NJ 08060	Mount Holly	NJ	08060	PO Box 6000	Mount Holly	NJ	08060	(609) 265-5111	(609) 265-5990			8:30am-4:30pm	(609) 265-5122	(609) 265-0696		http://www.co.burlington.nj.us/pages/viewdepartment.aspx?did=64	Mondays: 8:00am-7:00pm; Tues-Fri: 8:00am-4:00pm	NJ	state	
County Clerk	Hon. Joseph	Ripa	Camden	007	Courthouse, Rm 102, 520 Market Street	Camden	NJ	08101-0150	PO Box 150	Camden	NJ	08101-0150	Superintendent of Elections	Phyllis	Pearl	7250 Westfield Avenue, Suite C, PO Box 268, Pennsauken, NJ 08110	Pennsauken	NJ	08110	PO Box 268	Pennsauken	NJ	08110	(856) 661-3555	(856) 661-3556			9:00am-4:00pm	(856) 225-7219	(856) 756-2213		http://www.camdencounty.com/government/voter-information/superintendent-elections	8:30am-4:00pm	NJ	state	
County Clerk	Hon. Rita	Marie Fulginiti	Cape May	009	7 N. Main Street	Cape May Courthouse	NJ	08210-5000	PO Box 5000 	Cape May Courthouse	NJ	08210-5000	Commissioner of Registrations	John	Feeley	10-12 W. Mechanic Street, PO Box 5000, Cape May Courthouse, NJ 08210	Cape May Courthouse	NJ	08210	PO Box 5000	Cape May Courthouse	NJ	08210	(609) 465-1050	(609) 465-1639			8:30am-4:30pm	(609) 465-1013	(609) 465-8625			8:30am-4:30pm	NJ	state	a
County Clerk	Hon. Gloria	Noto	Cumberland	011	60 W. Broad Street	Bridgeton	NJ	08302-2665			NJ		Commissioner of Registrations	Nancy	Sungenis	555 Shiloh Pike, Bridgeton, NJ 08302	Bridgeton	NJ	08302			NJ		(856) 453-5801	(856) 451-3172			8:30am-4:30pm	(856) 453-4860	(856) 455-1410			8:30am-4:00pm	NJ	state	
County Clerk	Hon. Christopher	Durkin	Essex	013			NJ		PO Box 690	Newark	NJ	07101-0690	Superintendent of Elections	Kathy	Sumter, Acting Superintendent Of Elections	Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 417 A, Newark, NJ 07102	Newark	NJ	07102			NJ		(973) 621-5061	(973) 621-6464			8:30am-4:00pm	(973) 621-4921	(973) 621-2527 x 2537			8:30am-4:00pm	NJ	state	a
County Clerk	Hon. James	Hogan	Gloucester	015	Court House, 1st Floor, 1 North Broad Street	Woodbury	NJ	08096-3327	PO Box 129 	Woodbury	NJ	08096-3327	Superintendent of Elections	Stephanie	Salvatore	PO Box 352, Woodbury, NJ 08096	Woodbury	NJ	08096	PO Box 352 	Woodbury	NJ	08096	(856) 384-4500	(856) 251-1647			8:30am-4:30pm	(856) 853-3241	(856) 853-3327			8:30am-4:30pm	NJ	state	
County Clerk	Hon. Barbara	Netchert	Hudson	017	Hudson County Plaza, 257 Cornelison Avenue, 4th Floor	Jersey City	NJ	07302			NJ		Superintendent of Elections	Marie	Borace	Hudson County Plaza, 257 Cornelison Avenue, 4th Floor, Jersey City, NJ 07302	Jersey City	NJ	07302			NJ		(201) 369-7791	(201) 369-7743			8:30am-4:30pm	(201) 369-3470	(201) 369-3478			9:00am-5:00pm	NJ	state	
County Clerk	Hon. Mary	Melfi	Hunterdon	019	71 Main Street, Hall of Records	Flemington	NJ	08822-2900	PO Box 2900	Flemington	NJ	08822-2900	Commissioner of Registrations	Lois	Zarish	71 Main Street, Bldg. 3A, 3rd Floor, PO Box 2900, Flemington, NJ 08822-9952	Flemington	NJ	08822-9952	PO Box 2900	Flemington	NJ	08822-9952	(908) 788-1190	(908) 806-4686			8:30am-4:30pm	(908) 788-1214	(908) 782-4068			8:30am-4:30pm	NJ	state	
