authority_name	first_name	last_name	county_name	fips	street	city	address_state	zip_code	po_street	po_city	po_state	po_zip_code	reg_authority_name	reg_first	reg_last	reg_street	reg_city	reg_state	reg_zip_code	reg_po_street	reg_po_city	reg_po_state	reg_po_zip_code	reg_phone	reg_fax	reg_email	reg_website	reg_hours	phone	fax	email	website	hours	voter_state	source	review
Absentee Election Manager	Whit	Moncrief	Autauga	001			AL		PO Box 681864	Prattville	AL	36068	Board of Registrars					AL		PO Box 681864	Prattville	AL	36068						(334) 358-6718					AL	State	
Absentee Election Manager	Jody	Wise Campbell	Baldwin	003	312 Courthouse Sq. Suite 10	Bay Minette	AL	36507			AL		Board of Registrars			312 Courthouse Sq. Suite 10	Bay Minette	AL	36507			AL							(251) 937-0379					AL	State	a
Absentee Election Manager	David	Nix	Barbour	005			AL		PO Box 158	Clayton	AL	36016	Board of Registrars			303 E Broad Street, Room 107	Eufaula	AL	36027	PO Box 158	Clayton	AL	36016						(334) 775-1106					AL	State	
Absentee Election Manager	Gayle	Stewart Bearden	Bibb	007	35 Court Sq. East	Centreville	AL	35042			AL		Board of Registrars			35 Court Sq. East	Centreville	AL	35042			AL							(205) 926-3103					AL	State	a
Absentee Election Manager	Mike	Criswell	Blount	009	220 2nd Avenue East	Oneonta	AL	35121			AL		Board of Registrars			220 2nd Avenue East	Oneonta	AL	35121			AL							(205) 625-4121					AL	State	
Absentee Election Manager	Rashawn	Harris	Bullock	011			AL		PO Box 230	Union Springs	AL	36089	Board of Registrars					AL		PO Box 230	Union Springs	AL	36089						(334) 738-0205					AL	State	
Absentee Election Manager	Mattie	Gomillion	Butler	013			AL		PO Box 236	Greenville	AL	36037	Board of Registrars					AL		PO Box 236	Greenville	AL	36037						(334) 382-3521					AL	State	
Absentee Election Manager	James	Eli Henderson	Calhoun	015	25 West 11th Street, Suite 500	Anniston	AL	36201			AL		Board of Registrars			25 West 11th Street, Suite 500	Anniston	AL	36201			AL							(256) 231-2295					AL	State	a
Absentee Election Manager	Lisa	Burdette	Chambers	017	2 Lafayette Street South, B-114	Lafayette	AL	36862			AL		Board of Registrars			2 Lafayette Street South, B-114	Lafayette	AL	36862			AL							(334) 864-4348					AL	State	
Absentee Election Manager	Dwayne	Amos	Cherokee	019	100 Main St., Room 203	Centre	AL	35960			AL		Board of Registrars			100 Main St., Room 203	Centre	AL	35960			AL							(256) 927-3637					AL	State	
Absentee Election Manager	Glenn	Mcgriff	Chilton	021			AL		PO Box 1946	Clanton	AL	35046	Board of Registrars					AL		PO Box 1946	Clanton	AL	35046						(205) 755-4275					AL	State	
Absentee Election Manager	Donna	Lucas Murphy	Choctaw	023	117 South Mulberry Ave., Ste. 9	Butler	AL	36904			AL		Board of Registrars			117 South Mulberry Ave., Ste. 9	Butler	AL	36904			AL							(205) 459-3238					AL	State	a
Absentee Election Manager	Summer	Scruggs	Clarke	025			AL		PO Box 28	Grove Hill	AL	36451	Board of Registrars					AL		PO Box 28	Grove Hill	AL	36451						(251) 275-4707					AL	State	
Absentee Election Manager	Jeff	Colburn	Clay	027			AL		PO Box 155	Ashland	AL	36251	Board of Registrars					AL		PO Box 155	Ashland	AL	36251						(256) 354-2454					AL	State	
Absentee Election Manager	Jerry	Owen	Cleburne	029			AL		PO Box 282	Heflin	AL	36264	Board of Registrars					AL		PO Box 282	Heflin	AL	36264						(256) 463-2651					AL	State	
Absentee Election Manager	Linda	Mills	Coffee	031			AL		PO Box 427	New Brockton	AL	36351	Board of Registrars					AL		PO Box 427	New Brockton	AL	36351						(334) 894-1100					AL	State	
Absentee Election Manager	Nancy	Hearn	Colbert	033			AL		PO Box 740370	Tuscumbia	AL	35674	Board of Registrars					AL		PO Box 740370	Tuscumbia	AL	35674						(256) 314-5840					AL	State	
Absentee Election Manager	David	Jackson	Conecuh	035			AL		PO Box 533	Evergreen	AL	34601	Board of Registrars					AL		PO Box 533	Evergreen	AL	34601						(251) 578-7019					AL	State	
Absentee Election Manager	Jeff	Wood	Coosa	037			AL		PO Box 98	Rockford	AL	35136	Board of Registrars					AL		PO Box 98	Rockford	AL	35136						(256) 377-2678					AL	State	
Absentee Election Manager	Roger	Powell	Covington	039	1 North Court Square, Suite K	Andalusia	AL	36420			AL		Board of Registrars			1 North Court Square, Suite K	Andalusia	AL	36420			AL							(334) 428-2520					AL	State	
Absentee Election Manager	Sandra	Berry	Crenshaw	041			AL		PO Box 243	Luverne	AL	36034	Board of Registrars					AL		PO Box 243	Luverne	AL	36034						(334) 335-6568					AL	State	
Absentee Election Manager	Lisa	Mcswain	Cullman	043	500 2nd Avenue SW, Room 303	Cullman	AL	35055			AL		Board of Registrars			500 2nd Avenue SW, Room 303	Cullman	AL	35055			AL							(256) 775-4770					AL	State	
Absentee Election Manager	Delores	Woodham	Dale	045			AL		PO Box 1350	Ozark	AL	36360	Board of Registrars					AL		PO Box 1350	Ozark	AL	36360						(334) 774-5003					AL	State	
Absentee Election Manager	Jimmy	Ellison	Dallas	047			AL		PO Box 327	Selma	AL	36702	Board of Registrars					AL		PO Box 327	Selma	AL	36702						(334) 874-2525					AL	State	
Absentee Election Manager	Pam	Bailey Simpson	DeKalb	049			AL		PO Box 680616	Fort Payne	AL	35967	Board of Registrars					AL		PO Box 680616	Fort Payne	AL	35967						(256) 304-0200 x 3273					AL	State	a
Absentee Election Manager	Brian	Justiss	Elmore	051			AL		PO Box 310	Wetumpka	AL	36092	Board of Registrars					AL		PO Box 310	Wetumpka	AL	36092						(334) 514-3129					AL	State	
Absentee Election Manager	John	Robert Fountain	Escambia	053	314 Belleville Ave.	Brewton	AL	36426			AL		Board of Registrars			314 Belleville Ave.	Brewton	AL	36426			AL							(251) 867-0225					AL	State	a
Absentee Election Manager	Cassandra	Sam Johnson	Etowah	055	801 Forrest Ave, Ste. 202	Gadsden	AL	35901			AL		Board of Registrars			801 Forrest Ave, Ste. 202	Gadsden	AL	35901			AL							(256) 549-2150					AL	State	a
Absentee Election Manager	Samantha	Howard	Fayette	057	103 1st Avenue NW, Annex Ste. 2	Fayette	AL	35555			AL		Board of Registrars			103 1st Avenue NW, Annex Ste. 2	Fayette	AL	35555			AL							(205) 932-4510					AL	State	
Absentee Election Manager	Anita	Scott	Franklin	059			AL		PO Box 160	Russellville	AL	35653	Board of Registrars					AL		PO Box 160	Russellville	AL	35653						(256) 332-8861					AL	State	
Absentee Election Manager	Gale	Laye	Geneva	061			AL		PO Box 86	Geneva	AL	36340	Board of Registrars					AL		PO Box 86	Geneva	AL	36340						(334) 684-5620					AL	State	
Absentee Election Manager	Mattie	Atkins	Greene	063			AL		PO Box 307	Eutaw	AL	35462	Board of Registrars					AL		PO Box 307	Eutaw	AL	35462						(205) 372-6916					AL	State	
Absentee Election Manager	Catrinna	Perry	Hale	065			AL		PO Box 69	Greensboro	AL	36744	Board of Registrars					AL		PO Box 69	Greensboro	AL	36744						(334) 624-4334					AL	State	
Absentee Election Manager	Shirlene	Vickers	Henry	067	101 Court Square	Abbeville	AL	36310			AL		Board of Registrars			101 Court Square	Abbeville	AL	36310			AL							(334) 585-2753					AL	State	
Absentee Election Manager	Carla	Woodall	Houston	069	PO Drawer 6406	Dothan	AL	36302			AL		Board of Registrars			PO Drawer 6406	Dothan	AL	36302			AL							(334) 671-8700					AL	State	
