authority_name	first_name	last_name	county_name	fips	street	city	address_state	zip_code	po_street	po_city	po_state	po_zip_code	reg_authority_name	reg_first	reg_last	reg_street	reg_city	reg_state	reg_zip_code	reg_po_street	reg_po_city	reg_po_state	reg_po_zip_code	reg_phone	reg_fax	reg_email	reg_website	reg_hours	phone	fax	email	website	hours	voter_state	source	review
Voter Registration Office	Ann	Adams Loukx	Accomack	001	23312 COURTHOUSE AVE	ACCOMAC	VA	23301-0097	PO BOX 97	ACCOMAC	VA	23301-0097						VA				VA							(757) 787-2935	(757) 824-0525	govote@co.accomack.va.us			VA	State	a
Voter Registration Office	Richard	Washburne	Albemarle	003	BOX 404, 536 PANTOPS CENTER	CHARLOTTESVILLE	VA	22911			VA							VA				VA							(434) 972-4173	(434) 972-4178	voterregistration@albemarle.org			VA	State	
Voter Registration Office	Tiney	Rose	Alleghany	005	110 ROSEDALE AVENUE	COVINGTON	VA	24426			VA							VA				VA							(540) 965-1690	(540) 965-1692	govote5@ntelos.net			VA	State	
Voter Registration Office	Manda	Gravley	Amelia	007	9127 WASHINGTON STREET	AMELIA COURT HOUSE	VA	23002	PO BOX 481	AMELIA COURT HOUSE	VA	23002-0481						VA				VA							(804) 561-3460	(804) 561-3490	govote007@tds.net			VA	State	
Voter Registration Office	Gary	Beasley	Amherst	009	P.O. BOX 550	AMHERST	VA	24521-0550			VA							VA				VA							(434) 946-9315	(434) 946-9345	gnbeasley@countyofamherst.com			VA	State	
Voter Registration Office	Sabrina	Smith	Appomattox	011			VA		PO BOX 8	APPOMATTOX	VA	24522						VA				VA							(434) 352-5302	(434) 352-4409	govote011@appomattoxcountyva.gov			VA	State	
Voter Registration Office	Linda	Lindberg	Arlington	013	2100 CLARENDON BLVD STE 320	ARLINGTON	VA	22201-5400			VA							VA				VA							(703) 228-3456	(703) 228-3659	voters@arlingtonva.us	http://www.arlingtonva.us/vote		VA	State	
Voter Registration Office	Brandi	Lilly	Augusta	015	18 GOVERNMENT CENTER LN	VERONA	VA	24482-2639	PO BOX 590	VERONA	VA	24482-0590						VA				VA							(540) 245-5656	(540) 245-5037	blilly@co.augusta.va.us	http://www.co.augusta.va.us/		VA	State	
Voter Registration Office	Charles	Garratt	Bath	017	65 COURTHOUSE HILL	WARM SPRINGS	VA	24484	PO BOX 157	WARM SPRINGS	VA	24484						VA				VA							(540) 839-7266	(540) 839-7277	bathvoter@tds.net			VA	State	
Voter Registration Office	Barbara	Gunter	Bedford	019	122 E MAIN ST STE 204	BEDFORD	VA	24523			VA							VA				VA							(540) 586-7649	(540) 586-8358	b.gunter@bedfordcountyva.gov	http://www.co.bedford.va.us/res/vote/index.htm		VA	State	
